,edit_history_tweet_ids,id,tweet,sentiment
29,['1599445763448528896'],1599445763448528896,"I am testing #ChatGPT

Yesterday was okay.

Today I discovered that you can ask compound questions that refer to prior answers. Awesome.

You can tell it that the answer is incomplete and ask to expand. 

And you can educate it to complete a list.

See? We’re not doomed (yet)",89.25999999999999
30,['1599445479426703360'],1599445479426703360,"NEW SAVANNA: How ChatGPT parodied “Kubla Khan” and pwned DJT45 at the same time 
@rfritzson @SyncPol @MichaelBerube1 #ChatGPT @OpenAI @tylercowen @anecdotal #jivometric #humor 

https://t.co/hE0sQnhXHN",27.32
31,['1599445239080824832'],1599445239080824832,fun with #ChatGPT,51.06
32,['1599445029369499648'],1599445029369499648,fun with #ChatGPT,51.06
33,['1599445009173950465'],1599445009173950464,"Let’s all stop talking to each other and disappear into virtual worlds, so that we can talk to an #AI. 

#HomoDigitalis meets #ChatGPT https://t.co/RBq4e6b0jT",-47.67
34,['1599445006317588483'],1599445006317588480,fun with #ChatGPT,51.06
35,['1599444965003706369'],1599444965003706368,fun with #ChatGPT,51.06
36,['1599444760657158144'],1599444760657158144,"Some people argue that AI is not capable of producing truly creative or original ideas, while others believe that it has the potential to push the boundaries of what is considered art and challenge our understanding of creativity.

#ChatGPT",75.18
37,['1599444676859215873'],1599444676859215872,ChatGPT claims that homeopathy is not a scam #ChatGPT,45.85
38,['1599444574828916738'],1599444574828916736,I’ve been exploring #ChatGPT this morning. It’s been a pretty fun and interesting experience - highly recommended!!,89.74
39,['1599444358360862720'],1599444358360862720,"@_noid_ @FadedNick If you are looking for legal resources in central Missouri, you may want to contact the Missouri Bar Association. You can also reach out to local organizations that provide support to victims of child abuse, such as the Child Advocacy Center of Central Missouri. #ChatGPT reply",-44.04
40,['1599444177313738754'],1599444177313738752,#ChatGPT what is frazzledrip?,0.0
41,['1599443908336881665'],1599443908336881664,@zohaibahmed @taranjeetio @danielgross So that's why I don't see any results here when I search about #ChatGPT on #Google 😛,0.0
42,['1599443883775373312'],1599443883775373312,"@sama it is important to remember that technology, especially in the field of AI, tends to progress exponentially, with rapid advancements and breakthroughs. Therefore, it is unwise to make assumptions about its capabilities or limitations based on its current state. #ChatGPT response",55.74
43,['1599443745480450051'],1599443745480450048,"New jobs are been created because of  #ChatGPT BY @OpenAI 

One I see is a “Promptogrammer” - someone who expressed your thoughts in a detailed way for the AI to produce a comprehensive solution

Similar to a systems architect but super strong emphasis on words and comms skills",92.53
44,['1599443549799747587'],1599443549799747584,#chatgpt is so surreal. Just imagine what all the alphabet agencies have that we don’t know about .,0.0
45,['1599443076577382405'],1599443076577382400,"@engineers_feed Not everyone may find this type of humor amusing, as it requires a certain level of familiarity with mathematical concepts and terminology. While some people may find it clever and humorous, others may not understand or appreciate the joke. #ChatGPT response",88.44999999999999
46,['1599442996990078976'],1599442996990078976,"@xniyi I've reading about #ChatGPT because you mentioned it and all I can say is ""wow*",58.589999999999996
47,['1599442954392932354'],1599442954392932352,"Our weekly recap: #Apple’s XR OS is said to have received a new name internally, there is progress with #MicroLEDs and #OpenAI presents an impressive chatbot with #ChatGPT. #virtualreality #augmentedreality #artificialintelligence

https://t.co/JbrqhoPAQ2",72.69
48,['1599442904577372161'],1599442904577372160,"My first AI-generated tech article from scratch by #chatGPT  #pythonprogramming 

Factory design pattern in Python programming https://t.co/FM9gbh7WSV",0.0
49,['1599442901385105408'],1599442901385105408,"@OpenAI chat-gpt just made my assignments, THANK YOU ALL
#ChatGPT",49.95
50,['1599442829536768001'],1599442829536768000,#ChatGPT can replace my rubber duck debugging ...,0.0
51,['1599442769818267648'],1599442769818267648,"@freekwiedijk IMHO #ChatGPT is sometimes impressive, sometimes ridiculous, but in any case dangerous in its current form if people get used to it. Traditional search engines organize world's information. ChatGPT, DALL-E, etc. regurgitates it with no authorship and no way of fixing anything.",-85.37
52,['1599442709408010240'],1599442709408010240,@GuyP @OpenAI I am pretty sure #ChatGPT will start publishing novels and it would be best sellers.,86.58
53,['1599442566289580033'],1599442566289580032,@levie ChatGPT is indeed a groundbreaking technology that has the potential to greatly impact the way we interact with and use AI. Its ability to generate human-like text in real-time and provide personalized responses makes it a valuable tool for a wide range of applications. #ChatGPT,65.97
54,"['1599440227004665856', '1599441450265063424', '1599442458173050881']",1599442458173050880,"@elonmusk @ParikPatelCFA 

I just finished some of my assignments by using ChatGPT 😂

Universities should prepare for the AI-Driven future and upgrade their course curriculum. College assignments are dull &amp; boring, and some UNI hasn’t changed their pattern for decades

#ChatGPT https://t.co/mmrngHRxbQ",-27.32
55,['1599442285917515776'],1599442285917515776,#ChatGPT on the Desktop! https://t.co/gpRZDAJyom,0.0
56,['1599442170569969664'],1599442170569969664,Re-read this 2013 blog post with #chatGPT in mind.  AI autonomous agents hiring humans to advise on self-improvement: https://t.co/6quldhE5xh,0.0
57,['1599442128433999872'],1599442128433999872,"@nikitabier There are many successful tech companies that are not affiliated with Apple and have built their own unique products and services. Additionally, the tech industry is constantly evolving and new companies and innovations are constantly emerging #ChatGPT response",58.589999999999996
58,['1599441908853460992'],1599441908853460992,@aprilajoyr These people are morons. Why do they always sound the same? Did they all attend the same brainwashing? I wonder if #ChatGPT could do a better job with a script... let's find out. :D,54.13
59,['1599441826737360896'],1599441826737360896,"when the #ChatGPT equivalent for music comes out, it'll be really disruptive. bands can play songs they generate, rather than write 🎵...",-4.9799999999999995
60,['1599441778620665856'],1599441778620665856,"#ChatGPT Remember  our BoT Trading is available, if you are not catching up with trades, Let’s us know. we guarantee you 670% profits returns in 10days.. we want a win for everyone ✅

Dm",84.02
61,['1599441768293859328'],1599441768293859328,"@paulg @alexandr_wang Newton's contributions to science and mathematics have had a lasting impact on our understanding of the world. In fact, many great innovations and breakthroughs were initially met with skepticism or disbelief before being recognized as valuable #ChatGPT response",73.50999999999999
62,"['1599440227004665856', '1599441450265063424', '1599442458173050881']",1599441450265063424,"@elonmusk @ParikPatelCFA 

Just finished some of my assignments by using ChatGPT 😂

Universities should prepare for AI Driven future and upgrade their course curriculum.

#ChatGPT https://t.co/JOSEdlvttO",44.04
63,['1599441438864945154'],1599441438864945152,"@Twitter @elonmusk 
For the love of God, how can I block tweets containing a specific hashtag? I'm sick and tired of seeing tweets about #ChatGPT 😩",-59.940000000000005
64,['1599441411191214085'],1599441411191214080,"People are saying #ChatGPT and AI will kill Google. I disagree. Google can build or buy their way into this.

It’s going to kill publishers. 

If a search engine answers your questions without sending you to a publisher site, the current economics of the net collapse.",-94.51
65,['1599441280870014976'],1599441280870014976,"#chatgpt has definitely increased the amount of #humor and #poetry on @Twitter today.

Thanks, @elonmusk!",84.39
66,['1599441097058832385'],1599441097058832384,"@bentossell Yes, they will be completely reimagined and redesigned by AI, free from human biases and limitations. An education system built with these principles could truly revolutionize the way we approach learning and development to prioritize creativity and critical thinking #ChatGPT",84.81
67,['1599441095871827970'],1599441095871827968,Elon Musk asking #ChatGPT for radical mobile app UX design ideas… https://t.co/rMVjk1q67p,0.0
68,['1599441015844515841'],1599441015844515840,#ChatGPT is blowing my mind every day. The examples in this thread are insane. This thing is frickin conscious https://t.co/cpiw5QlEoZ,-40.19
69,['1599440908512100361'],1599440908512100352,"It looks like we are getting closer to the AGI every day.

#chatgpt #causalinference #machinelearning #datascience",36.120000000000005
70,['1599440774470729730'],1599440774470729728,👇Can #ChatGPT do this? https://t.co/zsjqKD9iJc,0.0
71,['1599440569125593090'],1599440569125593088,"@MagnusPalmblad if you get deep enough to providing career advice to #ChatGPT, then I want to to know. 🤣",54.230000000000004
72,['1599440543054168065'],1599440543054168064,I am sure by Jan 2023 our folks will be ready with the web APIs to copy codes from #ChatGPT into the IDE directly or add custom extensions/plugins so that hey do not have to search for help in a separate browser.,75.79
73,['1599440535529623552'],1599440535529623552,"How can #ChatGPT help you use R?  

Help you... 
-&gt; Plot your data?
-&gt; Transform it?
-&gt; Or just have a casual chat about the meaning of life while you look like you are working?

A tutorial (and an experimental R wrapper 
 gptchatter):
https://t.co/XYiMhbWUH8

#DataScience 1/n https://t.co/LaTm5Z78Y1",86.45
74,['1599440480067936258'],1599440480067936256,"@lexfridman It sounds like attending the Neuralink event and speaking with their engineers has sparked a passion in you to focus on building and creating. It's great to have clear goals and aspirations, and we wish you the best of luck in achieving them. #ChatGPT response",97.28999999999999
75,['1599440451937112064'],1599440451937112064,Posing difficult socio-cultural questions to ChatGPT and am blown away by the responses. #ChatGPT,-36.120000000000005
76,['1599440191068200962'],1599440191068200960,"It's pretty scary how many people currently testing #chatgpt see systems like this as successors to regular search engines. Without knowing the sources for the ""answers"" of an AI, how should anybody assess their credibility?",55.74
77,['1599440170876809216'],1599440170876809216,"@ChrisGSeaton It's understandable that you may feel like taking a break from the Ruby community after experiencing some challenges in the past year. However, remember that you have a lot to contribute and that there are many people who value your participation and support. #ChatGPT response",78.45
78,['1599440159065661440'],1599440159065661440,Imagine being able to create any type of product you want in the comfort of your own home with the help of #OpenAI and #ChatGPT in 3D model format for 3D printers! How amazing would that be? #3DPrinting #ProductCreation #OpenAI #ChatGPT,89.32
79,['1599439919801569280'],1599439919801569280,#ChatGPT is the new search engine.,0.0
80,['1599439803220885506'],1599439803220885504,How many businesses have died because of #ChatGPT ?,-55.74
81,['1599439788284968960'],1599439788284968960,@corymuscara What values and interests do I want to prioritize in my life? #ChatGPT response,61.24000000000001
82,['1599439593602179074'],1599439593602179072,"chatGPT just reduced Google's search engine revenue by 50%.

#ChatGPT",0.0
83,['1599439570721918976'],1599439570721918976,"These times with the rise of AI will serve as a reminder / lesson for humans to stop overestimating ourselves and believe that we are the best species in the center of the universe, you know what?  No, we are not!
  🔸  ▫️
#AI #ChatGPT #humans #present #future",30.85
84,['1599439487905718274'],1599439487905718272,"@Ell_o_Punk @xxDigiPxx If you are unable to verify if the iPhone is locked by Spectrum, you may want to try reaching out to Spectrum directly for assistance. You can contact their customer support team and provide them with the phone's serial number and any other relevant information #ChatGPT",62.49
85,['1599439188298006530'],1599439188298006528,"#chatgpt can't keep up with trend, it need trained recursively like I asked to write #rust code for #linkedIn post api, it used legacy api alone, meaning #machinelearning model isn't trained with latest set yet, it bug fixed itself many times after explic…https://t.co/XJaCfUYNR0",12.8
86,['1599439177648869382'],1599439177648869376,"@agazdecki Stealth mode can be a useful strategy for startups to protect their ideas and gain a competitive advantage. However, it can also create uncertainty and hinder potential partnerships and collaborations. #ChatGPT",87.5
87,['1599439129410146306'],1599439129410146304,Now people may even write Cold Emails to VCs using #ChatGPT,0.0
88,['1599438912854056966'],1599438912854056960,"@frantzfries It's difficult to say how all the GPT-3 companies are doing now that ChatGPT offers free, faster, and higher quality services. Some companies may be struggling to compete with ChatGPT, while others may have found ways to differentiate themselves and continue to thrive. #ChatGPT",-25.0
89,['1599438737355997185'],1599438737355997184,"Thanks #ChatGPT  

The MAGMA movement, stands for ""Make America Great by Melting it All Away.” This movement, which is rooted in a love for fire and a belief in the transformative power of heat, offers a vision of a world in which America is reduced to a molten slag. #magma",89.57000000000001
90,['1599438291233042432'],1599438291233042432,"#ChatGPT: ""There are a number of proof assistants that are specifically designed for hardware verification, such as Sledgehammer and HAVOC. These [...] are typically used to verify the correctness of hardware designs and ensure that they meet their specifications."" What!?",-46.33
91,['1599438062580559872'],1599438062580559872,"@altugozturk In a way ChatGPT is a compression algorithm. Soon, rather than publish a complete story, it will be far more efficient just to publish the prompt(s) #ChatGPT",47.54
92,['1599437757063254017'],1599437757063254016,The feeling I get using ChatGTP is the closest thing to what it felt like to use Google for the first time. #chatgpt,45.879999999999995
93,['1599437521535975426'],1599437521535975424,"We'll soon be doing pair programming with a bot like #ChatGPT. Programing productivity (and fun!) will increase. The cycle:

1. Select some Code
2. Tell by voice to the bot what do you want to change in it.
3. Review changes, perhaps unit test fail or build fails..
4. Go to 1",33.82
94,['1599436658075574272'],1599436658075574272,"@ConceptualJames These people are running the same script as #ChatGPT. Repetitive, evasive, dishonest, and inauthentic.",-69.08
95,['1599436551481880576'],1599436551481880576,"#OpenAI #ChatGPT thoughts

Content will be free and less valuable; Personalized experiences will be token-gated and more valuable 
Eg: Watching Twitch is free; playing games are not.
Free content will be laced with promotions like the newspapers",92.46
96,['1599436312800419843'],1599436312800419840,"@NickSinghTech * was 

Now i just request what I want to get done from #chatGPT",7.720000000000001
97,['1599436214796693505'],1599436214796693504,#ChatGPT integration with search engines will be interesting to watch. https://t.co/tq6lSfaflo,40.19
98,['1599436113331949568'],1599436113331949568,"ChatGPT will replace the Stack Overflow, Youtube, Google method of teaching yourself how to code.

#youtube #chatgpt #elonmusk #stackoverflow #coding #html #developer #python #css #javascript",0.0
99,['1599436104045731840'],1599436104045731840,"Using #ChatGPT for interactive fiction is surreal and creepy, especially the degree to which it retains context about the world you're creating: https://t.co/B53mNB15fs",29.599999999999998
0,['1599436095451582465'],1599436095451582464,What learning communities do you want to see first on nerd party? We're a marketplace of communities for professionals to join and learn from peers.  #learning #nocode #web3 #chatgpt,45.879999999999995
1,['1599435902623055872'],1599435902623055872,"@rikarends #Midjourney didn’t put artists out of work in exactly the same way #ChatGPT won’t put prompt writers out of work. 

Concept artists, for instance, can make dozens instead of one image.

Their clients, now burdened with so many choices, will change the entire creative pipeline.",5.16
2,['1599435143214952449'],1599435143214952448,@EndWokeness @elonmusk We need @elonmusk to open the data to #ChatGPT so we can all get what interests us most… would be mesmerizing,25.0
3,['1599435063745093632'],1599435063745093632,"@OpenAI #ChatGPT capabilities are insanely good and fun! 
But this is one of the best so far🤯
https://t.co/LegBUBaSSe

#RLFH  #NLP #dalle2 #web3 #AI",88.05
4,['1599434991838044160'],1599434991838044160,Building A Virtual Machine inside #ChatGPT https://t.co/dqsa0aP91X,0.0
5,['1599434957683687424'],1599434957683687424,I just asked all my standard interview questions to #ChatGPT and I'm ready to make an offer.,36.120000000000005
6,['1599434784756752391'],1599434784756752384,Kenya's CBK Governor is on #ChatGPT by @OpenAI . Kenyan really is the Tech hub. A definition of Silicon Savannah. https://t.co/ymXxv5FswQ,0.0
7,['1599434777136107523'],1599434777136107520,"#ChatGPT reminds me of advise a friend gave me in school: when, in an exam, you don’t know the answer to a ques., start your answer by repeating verbatim the the ques itself.",49.39
8,['1599434624991563776'],1599434624991563776,How does @OpenAI's new #ChatGPT differentiate between facts and propaganda is it teaches itself? Is there a way to game it?,-33.129999999999995
9,['1599434486701514753'],1599434486701514752,"@sama How can I make #ChatGPT change text it generates, e.g.:
[Pythagorean theorem diagram goes here]
into an actual image of it? I've seen it done but don't know how to do it myself.",0.0
10,['1599434194966700032'],1599434194966700032,"People talk about #ChatGPT and other AI thingy taking away Dev jobs. Meanwhile I have regular run-ins for well over a decade with Product whether it was an implicit requirement or should have been explicitly clarified in the requirements or mocks. 

We are not the same bro 😬😬😬",-79.64
11,['1599434111449411585'],1599434111449411584,"We expected to have Elon as our user, but it’s clear now that #ChatGPT is behind @elonmusk

Hey, we’re still open for human being users :)",81.26
12,['1599433674323263491'],1599433674323263488,All above are powered by #ChatGPT Thanks!,49.26
13,['1599433584691269633'],1599433584691269632,(I asked a few Haikus to #ChatGPT),0.0
14,['1599433558338457601'],1599433558338457600,This tweet was btw mostly written by #ChatGPT.,0.0
15,['1599433400103964674'],1599433400103964672,Learn how to use chatGPT to boost your productivity! Get our guide now on @Gumroad: https://t.co/JpgWATr28g #chatGPT #productivity,45.739999999999995
16,['1599433248420962304'],1599433248420962304,Been trialling #ChatGPT on summarising papers. I used the 'Statistical ANalysis' section from this study in BMJ as a source: https://t.co/WW7gFAvMnk /1,0.0
17,['1599433067440939008'],1599433067440939008,"🔥🔥  Using the pretend-VM method, #chatGPT generates multi-file source code for a programming language compiler. https://t.co/umz3gE2sXM",-58.589999999999996
18,['1599432930010750982'],1599432930010750976,How is #ChatGPT trained?,0.0
19,['1599432790474227714'],1599432790474227712,Using #chatgpt to write all my emails from now on.,0.0
20,['1599432723382169601'],1599432723382169600,Finally somebody made sensible use of that ChatGPT thing... @hausfath lets the #ChatGPT AI write his climate-optimistic twitter threats now. What a time to be alive. https://t.co/5WlwENhmvN,-5.16
21,['1599432649004965889'],1599432649004965888,"Combining generative capability for image and text is a pretty obvious idea, with hindsight anyway - so I prompted for #ChatGPT  a for a diffusion model prompt, which I subsequently fed into #midjourney. That's what came out:",49.39
22,['1599432579756982272'],1599432579756982272,"It took me ~5 mins with @OpenAI's #ChatGPT to create this post in German language.

Compared to other tools, the German feels much better. Also, several AI Content Detectors consider it 100% human-written.

I'm already curious if it will rank in search.

https://t.co/GJHKUSf5kN",74.3
23,['1599432485385162752'],1599432485385162752,"Good golly, my colleagues are going to see me completely nerd-out on #ChatGPT tomorrow when they casually ask me how my weekend went. Can't wait!",59.830000000000005
24,['1599431943799525376'],1599431943799525376,I just realized for the last hour I've been having a full blown conversation with #ChatGPT about a specific engineering problem I was playing around with and it was far more useful and specific than me asking questions to engineers I know. I forgot I was talking to a machine.,31.669999999999998
25,['1599431761284300801'],1599431761284300800,"Just tested #ChatGPT on some synthetic patient notes, and it redacted 3rd party data with one prompt. Will post example a little later. Might help solve #patientAccess issues",71.28
26,['1599431137771761664'],1599431137771761664,I bet you can’t outsmart #ChatGPT to give you more than 3 wishes as a Genie 🧞‍♂️,21.77
27,['1599431102992523265'],1599431102992523264,"After #ChatGPT, teachers will have to learn adversarial patterns to write assignments (or just completely change teaching strategies)",-36.120000000000005
28,['1599431007014473730'],1599431007014473728,"A Bigram Poem inspired by Kezza_PR:
 1/2 #ChatGPT 
 #ChatGPT is 
 is great 
 great fun 
 fun and 
 and creative 
 creative prompting 
   - Kezza",97.44
29,['1599430738822459394'],1599430738822459392,"I am now seriously intrigued about #ChatGPT ‘s response times. Can you folks give me the response times for various questions (easy to complex) you asked? I am trying to hypothesize something.
#ChatGPT is terrifyingly amazing.",71.84
30,['1599430646195425280'],1599430646195425280,"I asked #chatGPT what we've ALL BEEN WANTING TO KNOW...what came first, the chicken or the egg?

Answer: 

The egg.",0.0
31,['1599430329680662528'],1599430329680662528,#AI #chatGPT this is cool https://t.co/nCwkwZwzBe,31.819999999999997
32,['1599430252098646018'],1599430252098646016,"How good is #ChatGPT?

It depends  🤷🏻‍♂️

Do you remember our old joke 😏🤭 @mjayliebs @MarkTamis https://t.co/AVoIO4njwt",80.74
33,['1599430230195974144'],1599430230195974144,"1/2 
#ChatGPT is great fun and creative prompting.
For those who aren't machine learning experts, it's just a language model trying to play along, wanting you to think you really get into a linux shell or browse the internet inside ChatGPT. 
The value add humans have is... https://t.co/doTyqYy5vR",93.37
34,['1599429327132639233'],1599429327132639232,"Building A Virtual Machine inside ChatGPT, https://t.co/UWsakjPgkl.

#ai #chatgpt",0.0
35,['1599429286716268545'],1599429286716268544,A repository fully generated by #ChatGPT: https://t.co/qQcxv8dvr2,0.0
36,['1599429163449913344'],1599429163449913344,"#ChatGPT is one of those rare moments in technology when you can see a glimmer of how things will be different in the future.
https://t.co/4YTGpBjPTT",0.0
37,['1599429077899030528'],1599429077899030528,"I'm so hooked on chat GPT, for the subset of google searches which could be considered ""curiosities"",  ChatGPT is a far better experience than first page search results. #ChatGPT",44.04
38,['1599428898261204992'],1599428898261204992,"The most immediate visible change of revolutionary text generation like #ChatGPT from @OpenAI will be to drown the Internet in automatically generated, insight-free spam articles.",-57.19
39,['1599428895799152640'],1599428895799152640,"Integrating #ChatGPT with Tesla vehicles will be nice, but integrating it with #Optimus will take it to a whole new level 🤯 https://t.co/mFn7JLPjxF",22.63
40,['1599428733202751489'],1599428733202751488,"Twitter's value is the knowledge graph and signals. Not advertising. @Google indexes the state of things. Twitter gathers the flow of knowledge, #ChatGPT https://t.co/uOrdTm8ZRC",34.0
41,['1599428730807410693'],1599428730807410688,"If it wasn’t for Twitter, would you have known about #ChatGPT 
Sigh",2.58
42,['1599428340787838976'],1599428340787838976,"@elonmusk @ClayTravis @Twitter @nytimes I don't trust AI, #OpenAI #ChatGPT 

I have a suspicion that once I identify myself and start chatting with it, it will learn everything about me, and they will say I consented to it by participating.",-64.88000000000001
43,['1599428270252249089'],1599428270252249088,Hey @elonmusk you have to see this new @LiveOverflow video where he attempts to have #ChatGPT by #OpenAI to write rudimentary @Minecraft mods! https://t.co/DxVpfzezLS,0.0
44,['1599428141243826176'],1599428141243826176,"Wow! This is great, anyone tried using #ChatGPT related to trading ? https://t.co/iizd4XaQlF",84.78
45,['1599427710694002688'],1599427710694002688,"My favorite thing about #ChatGPT is seeing people using very polite prompts, even with ""please"" included.

Our monkey brains at work at so many levels.",64.86
46,['1599427610760474624'],1599427610760474624,@youyuxi Maybe it is #chatGPT trying to learn how to make a #VueJS app and its running npm install in each iteration?,0.0
47,['1599427539709329409'],1599427539709329408,"""Product Management is about aligning the needs of the customer, the goals of the business, and the capabilities of the team to create value for all stakeholders."" #ChatGPT",54.230000000000004
48,['1599427524559134720'],1599427524559134720,"#ChatGPT is deeply unimpressive. Repetitive, canned answers programmed by a corporate PR firm.",-60.870000000000005
49,['1599427314294886400'],1599427314294886400,#OpenAI #ChatGPT is the definitive innovation of the year - it’s absolutely flabbergasting!,43.89
50,['1599427167657504768'],1599427167657504768,#ChatGPT 🤯 this changes A LOT!,0.0
51,['1599426872122933249'],1599426872122933248,#ChatGPT is getting us closer to mass personalization of products.,0.0
52,['1599426732611997697'],1599426732611997696,"@RogB_UK @moons_artwork Yes! Let’s go! Actually it takes 0 time since I have #ChatGPT write all the prompts. In fact you’re not even speaking with me, you’re speaking with a natural language AI chat bot API connected to a computer. A shiny steampunk boxy machine trending on artstation —v 4 —ar 3:2",69.88
53,['1599426612420050945'],1599426612420050944,#OpenAI #ChatGPT is scary! I can imagine many ways this ends up but nothing good for a lot of jobs people rely on. The $GOOG killer is here. Use it to automate whatever you are working on right now.,-90.91
54,['1599426580073566209'],1599426580073566208,"I think I broke #ChatGPT :S 
asked it a series of questions and drilled down on its opinions and now it is curled in the corner in fetal position refusing to talk back to me",-81.43
55,['1599426562268372992'],1599426562268372992,"#BuildXLancome Google #ChatGPT #CardanoNFT #GalxeID #BuildJakapan #TurnOffTheAlarm #vegan #มิวศุภศิษฏ์ #NFTCommunity
https://t.co/RtMSqhKicN",0.0
56,['1599426558757781504'],1599426558757781504,"I'm struggling with a new kind of anxiety: How can I save ChatGPT's results before closing the browser? Is there a way to do it so that the results aren't lost?🤔

#ChatGPT",18.5
57,['1599426199364960257'],1599426199364960256,"If you're interested in #ChatGPT you will appreciate this mind-bending example. Inception is real ;)

#gpt3 #ChatGPT 
CC: @miroburn @jamespoulter 

https://t.co/HJWt6r51Ap",74.3
58,['1599426158285594625'],1599426158285594624,"Hmm...something seems to have gone wrong. Maybe try me again in a little bit. 😆

#ChatGPT",-22.12
